0,[0.37434859 0.44115712 0.56634845 0.52721355 0.        ]
1,[ 0.     0.    -0.095  0.     0.   ]
2,[0.105      0.17410355 0.07205786 0.12831742 0.        ]
3,[0. 0. 0. 0. 0.]
4,[0.11871743 0.07205786 0.12831742 0.         0.        ]
5,[0. 0. 0. 0. 0.]
6,[0. 0. 0. 0. 0.]
7,[0. 0. 0. 0. 0.]
8,[0.06764608 0.11764608 0.20764608 0.11764608 0.        ]
9,[0. 0. 0. 0. 0.]
10,[0. 0. 0. 0. 0.]
11,[0. 0. 0. 0. 0.]
12,[0. 0. 0. 0. 0.]
13,[0. 0. 0. 0. 0.]
14,[0. 0. 0. 0. 0.]
15,[0. 0. 0. 0. 0.]
