[0.24554312 0.08773445 0.42116339],[0.86372538 0.77548865 0.9661847 ],[0.86372538 1.         0.42116339],[0.3569899  0.55856425 0.        ],[0.64231522 0.03008198 0.11729823],[0.24394355 0.27905996 0.25720223],[0.24394355 0.03008198 0.        ],[0.64231522 0.27905996 0.25720223],[0.3737398  0.7524494  0.04748888],[0.34083123 0.8785039  0.13431332],[0.34083123 0.7524494  0.04748888],[0.3737398  0.8785039  0.67363453],[0.17625182 0.81601896 0.56653076],[0.09437962 0.77213031 0.06881059],[0.09437962 0.81601896 0.        ],[0.         0.09019467 0.06881059],[0.99409208 0.8027468  0.71597486],[0.47825263 0.42520687 0.43082851],[0.47825263 0.8027468  0.        ],[0.         0.42520687 0.95480379]
[0. 1. 0.],[0.         0.         0.29690458],[0.48086487 1.         0.        ],[0. 0. 0.],[0.2455064 1.        0.       ],[0.2455064  0.         0.13410003],[0.2455064 1.        0.       ],[0.         0.         0.13410003],[0.03906852 0.         0.15903686],[0. 0. 1.],[0. 0. 0.],[0.03906852 0.         0.        ],[0.8809483  1.         0.06881059],[0.         1.         0.29690458],[0.         0.02224028 0.        ],[0.89186643 0.         0.29690458],[0.37730905 0.         0.06881059],[0.2934963 0.        0.       ],[0.2934963  0.         0.06881059],[0.         0.97147428 0.        ]
[0. 0. 0.],[0.         0.13614026 0.        ],[0. 0. 0.],[0. 1. 0.],[0. 1. 0.],[0.         0.         0.15903686],[0.74561741 1.         0.        ],[0.         0.33602544 0.56893608],[0.         0.13614026 0.29690458],[0.         0.09843792 0.32687022],[0.         0.13614026 0.        ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],[0. 0. 0.],[0.         0.13614026 0.29690458],[0. 0. 0.],[0.12237644 0.         0.5096262 ],[0. 1. 0.]
