[0.70520386 0.44711119 0.34155805],[0.6850311  0.93514298 0.72240109],[0.         0.44711119 0.34155805],[0.70520386 0.93514298 0.72240109],[0.35600879 0.34018942 0.97049298],[0.93373132 0.07066972 0.27118369],[0.93373132 1.         0.97049298],[0.35600879 0.         0.27118369],[0.19959884 0.25923485 0.46672126],[0.18907132 0.39649274 0.93007395],[0.18907132 0.25923485 0.46672126],[0.19959884 0.39649274 1.        ],[0.77782996 0.28606813 0.02293118],[0.48903632 0.08780612 0.0599772 ],[0.         0.64030252 0.14957101],[0.6245924  0.11353891 0.0599772 ],[0.82868786 0.64154123 0.06738229],[0.85969749 0.77968076 0.3332142 ],[0.85969749 0.51419931 0.        ],[0.82868786 0.77968076 0.3332142 ],[0.50081815 0.04917166 0.25023814],[0.55261973 0.65888347 0.33343676],[0.         0.         0.25023814],[0.20576385 0.12807264 0.33343676],[0.86921698 0.13781142 0.17318523],[0.27769213 0.07652241 0.08450883],[0.         0.         0.17318523],[0.86921698 0.07652241 0.08450883],[0.14830689 0.19016823 0.59087442],[0.94942958 0.45301468 0.39566687],[0.94942958 0.19016823 0.59087442],[0.54827285 0.         0.39566687]
[0.63412523 0.         0.18448304],[0.         0.45451057 1.        ],[0.10712268 0.         0.        ],[0.63412523 0.         1.        ],[0.         0.68227946 1.        ],[1.         0.         0.36404982],[1.         0.19650052 0.        ],[0.42558883 0.         0.36404982],[1.         0.29043821 0.49142811],[0.         0.68227946 1.        ],[1.         0.20894906 0.        ],[0. 0. 0.],[0.06762374 0.         1.        ],[1.         0.68227946 0.        ],[1. 0. 1.],[0.06762374 0.68227946 0.        ],[0.14767314 0.38741318 0.80196589],[0.63412523 0.         0.08193768],[0.62002815 0.38741318 0.80196589],[0.14767314 0.         0.08193768],[0. 0. 0.],[1.         0.68227946 1.        ],[0.68609672 0.         0.        ],[0. 1. 0.],[0.14767314 0.68227946 0.        ],[0.         0.09776924 1.        ],[0.26493481 0.68227946 0.90882886],[0.83376954 0.06103825 1.        ],[0.94651652 0.20939576 0.        ],[0. 0. 0.],[1. 0. 0.],[0.94651652 0.         0.        ]
[0.         0.03829001 0.        ],[0.40463712 0.14343606 0.10783296],[0.40463712 0.03829001 0.        ],[0.         0.14343606 0.10783296],[0.         1.         0.69456147],[0.         0.         0.38645823],[0.         1.         0.69456147],[0. 0. 1.],[0. 0. 0.],[0.19925838 0.18246769 0.44041145],[0.         0.         0.13113701],[0.         0.18246769 0.        ],[0.13873078 0.         0.38645823],[0.40463712 0.         1.        ],[0.         0.21584308 0.38645823],[0.13873078 0.         0.        ],[0.40463712 0.86836385 0.70251968],[0.         0.59525511 0.        ],[0.         0.75668333 0.70251968],[0.40463712 0.59525511 0.        ],[0.         0.         0.82488546],[0.         0.         0.44041145],[0. 0. 1.],[0.68196243 0.         0.03814225],[0. 0. 0.],[0.         0.53251105 0.44041145],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],[0. 0. 0.],[0. 0. 1.],[0. 0. 0.]
