[0 0 0 0],[0.00748012 0.         0.         0.         0.02292272]
[3 0 0 0],[0.00803454 0.01824677 0.         0.         0.02510832]
[7 0 0 0],[0.0056494  0.00926931 0.         0.         0.03140632]
[1 0 0 0],[0.00883318 0.01507392 0.         0.         0.02428484]
[3 0 0 3],"[1.74473326e-12 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.26664781e-03]"
[7 0 0 3],"[1.40830179e-06 3.13113730e-05 0.00000000e+00 0.00000000e+00
 5.38895242e-03]"
[1 0 0 3],"[3.81342780e-05 1.99145988e-03 0.00000000e+00 0.00000000e+00
 4.98602459e-03]"
[4 0 0 3],"[8.86309575e-08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.00425105e-03]"
[8 0 0 3],[0.00080899 0.00129368 0.         0.         0.01616294]
[6 0 0 3],[0.02780916 0.         0.         0.         0.01399283]
[6 3 0 3],[0.00024958 0.         0.         0.         0.05132275]
[6 4 0 3],"[1.69667580e-06 4.96886347e-03 0.00000000e+00 0.00000000e+00
 4.32557858e-02]"
[6 4 3 3],[0.         0.         0.         0.         0.01985391]
[6 7 3 3],[0.         0.         0.         0.         0.02426169]
[6 1 3 3],"[0.00000000e+00 6.53609549e-07 0.00000000e+00 0.00000000e+00
 1.87271680e-02]"
[6 0 3 3],"[7.72668730e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.29426607e-03]"
[6 0 1 3],[0.00367859 0.         0.         0.         0.00216359]
[6 0 4 3],"[5.13797195e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.90994392e-03]"
[6 3 4 3],[0.         0.         0.         0.         0.00668544]
[6 3 1 3],[0.         0.         0.         0.         0.00804883]
[6 1 1 3],[0.         0.         0.         0.         0.00842135]
[6 1 4 3],[0.         0.00266777 0.         0.         0.00193729]
[6 4 4 3],[0.         0.         0.         0.         0.00253802]
[6 5 4 3],[0.         0.         0.         0.         0.00088152]
[6 7 1 3],"[0.00000000e+00 4.89015303e-05 0.00000000e+00 0.00000000e+00
 9.95751093e-03]"
[6 4 1 3],[0.         0.         0.         0.         0.01012946]
[6 8 1 3],[0.         0.04889755 0.         0.         0.02325101]
[6 6 1 3],[0.         0.0566272  0.         0.         0.14175042]
[6 6 5 3],[0.         0.         0.         0.         0.11787181]
[6 6 3 3],[0.         0.02933615 0.         0.         0.12345987]
[6 6 4 3],[0.         0.03555919 0.         0.         0.12249193]
[6 6 8 3],[0.         0.32420613 0.         0.         0.28615004]
[6 6 6 3],[0.         0.0975     0.         0.         0.34548162]
[6 6 6 1],[0.         0.18549375 0.         0.         0.35817027]
[6 6 6 4],[0.         0.05       0.         0.         0.36036218]
[6 6 6 7],[0.         0.18549375 0.         0.         0.38843498]
[6 6 6 8],[0.         1.         0.         0.         0.90003585]
[6 6 6 6],[0. 0. 0. 0. 0.]
[4 0 0 0],[0.00886043 0.02142614 0.         0.         0.02366591]
[5 0 0 0],[0.00228669 0.         0.         0.         0.02274637]
[8 0 0 0],[0.01948807 0.07406381 0.         0.         0.06662648]
[8 0 3 3],"[1.26822136e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.30820383e-04]"
[6 3 3 3],[0.         0.         0.         0.         0.01160075]
[6 5 3 3],[0.         0.         0.         0.         0.00401136]
[6 8 3 3],[0.         0.00823447 0.         0.         0.08453193]
[6 6 0 3],[0.12959017 0.01348309 0.         0.         0.13785409]
[6 6 0 1],[0.17832585 0.02576575 0.         0.         0.13961126]
[6 6 0 5],[0.0009853  0.         0.         0.         0.11691836]
[6 6 0 7],[0.01216613 0.         0.         0.         0.12518332]
[6 6 0 4],[0.06202979 0.0087628  0.         0.         0.12654539]
[6 6 0 8],[0.02055309 0.07316962 0.         0.         0.22394253]
[6 6 0 6],[0.32198796 0.         0.         0.         0.13278812]
[6 6 3 6],[0.         0.05       0.         0.         0.35411211]
[6 6 1 6],[0.         0.         0.         0.         0.41205724]
[0 0 3 0],"[1.18509007e-04 8.27153466e-09 0.00000000e+00 0.00000000e+00
 9.15046334e-04]"
[3 0 3 0],"[2.88713657e-07 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.95760806e-03]"
[1 0 3 0],"[9.34178045e-07 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.03888370e-03]"
[7 0 3 0],"[1.25972811e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.26054291e-03]"
[7 0 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.03378762e-05]"
[4 0 3 3],[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.0069085e-05]
[1 0 3 3],"[3.78031686e-12 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.46030972e-05]"
[0 0 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.23324164e-07]"
[0 0 4 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.45954319e-08]"
[0 0 1 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.35393929e-07]"
[0 0 5 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.07387774e-09]"
[3 0 5 3],[0. 0. 0. 0. 0.]
[4 0 5 3],[0. 0. 0. 0. 0.]
[7 0 5 3],[0. 0. 0. 0. 0.]
[5 0 0 3],[0.         0.         0.         0.         0.00330564]
[5 0 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.60241958e-06]"
[1 3 3 3],[0.         0.         0.         0.         0.00014062]
[7 3 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.62962854e-08]"
[0 3 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.36601563e-08]"
[0 4 3 3],"[7.36629668e-09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.20857444e-08]"
[3 3 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.71780954e-07]"
[4 3 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.90767204e-08]"
[0 1 3 3],"[1.21483920e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.53783222e-07]"
[0 5 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.97239595e-10]"
[3 0 1 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.38231136e-07]"
[1 0 1 3],"[4.26891118e-09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.03187121e-06]"
[7 0 1 3],"[1.90430440e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.56809777e-08]"
[1 3 1 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.55408824e-05]"
[4 3 1 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.35100964e-06]"
[3 3 1 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.24184735e-09]"
[1 3 4 3],[0. 0. 0. 0. 0.]
[1 3 0 3],[0.         0.         0.         0.         0.00121563]
[7 3 0 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.57155863e-05]"
[8 3 3 3],[0.         0.00034799 0.         0.         0.0001072 ]
[6 2 2 3],[0.         0.         0.         0.         0.00245016]
[6 5 0 3],"[7.37198184e-07 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.26301616e-02]"
[6 1 0 3],[0.0026268  0.         0.         0.         0.04936207]
[6 7 0 3],[0.00099806 0.00106949 0.         0.         0.06102092]
[6 0 0 4],[0.00032057 0.         0.         0.         0.01595795]
[6 0 0 0],[0.03544214 0.         0.         0.         0.08286852]
[6 0 0 7],[0.        0.        0.        0.        0.0142964]
[6 0 3 0],[0.00160422 0.         0.         0.         0.0156463 ]
[6 0 7 0],[0.00026597 0.         0.         0.         0.00981299]
[6 0 1 0],[0.00331803 0.         0.         0.         0.01442178]
[6 0 4 0],"[9.78664142e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.11421300e-02]"
[0 3 0 0],[0.00036124 0.         0.         0.         0.00469964]
[3 3 0 0],"[1.54399469e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.33849924e-02]"
[1 3 0 0],"[5.61955879e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.38247684e-02]"
[4 3 0 0],"[3.31245405e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.30021612e-02]"
[7 3 0 0],"[1.42126124e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.45314990e-02]"
[0 3 0 3],"[4.11366607e-10 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.95248368e-08]"
[0 7 0 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.23108049e-10]"
[0 1 0 3],"[1.01893066e-08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.93336317e-09]"
[0 4 0 3],[0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.612245e-05]
[0 7 3 3],[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.9060624e-08]
[3 5 3 3],[0. 0. 0. 0. 0.]
[1 5 3 3],[0. 0. 0. 0. 0.]
[0 0 7 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.99516697e-08]"
[4 0 1 3],"[4.55860488e-08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.65668059e-04]"
[7 3 1 3],"[0.00000000e+00 1.48353639e-05 0.00000000e+00 0.00000000e+00
 2.98153940e-06]"
[5 3 4 3],[0. 0. 0. 0. 0.]
[7 3 4 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.81663513e-09]"
[3 3 4 3],[0. 0. 0. 0. 0.]
[8 3 4 3],"[0.00000000e+00 1.36585597e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
[8 3 1 3],"[0.00000000e+00 6.86315265e-04 0.00000000e+00 0.00000000e+00
 4.24072098e-05]"
[6 7 4 3],"[0.00000000e+00 6.53530047e-05 0.00000000e+00 0.00000000e+00
 1.59816366e-03]"
[6 8 4 3],[0.         0.01981981 0.         0.         0.00874399]
[6 8 0 3],[0.01244731 0.12392206 0.         0.         0.1118671 ]
[6 6 7 3],[0.         0.02431778 0.         0.         0.14032376]
[6 6 6 0],[0.29124131 0.         0.         0.         0.32826886]
[0 5 0 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.62101446e-11]"
[3 5 0 3],[0. 0. 0. 0. 0.]
[1 5 0 3],[0. 0. 0. 0. 0.]
[7 5 3 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.60318928e-06]"
[4 5 3 3],[0. 0. 0. 0. 0.]
[5 5 3 3],[0. 0. 0. 0. 0.]
[8 5 3 3],"[0.00000000e+00 3.56264284e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
[6 0 7 3],"[5.21909048e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.39256179e-03]"
[6 0 0 1],[0.00223197 0.         0.         0.         0.01661472]
[6 3 0 1],"[2.47508109e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.88815406e-02]"
[6 1 0 1],"[1.70289380e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.56479627e-02]"
[6 7 0 1],"[7.39935554e-06 5.19862535e-04 0.00000000e+00 0.00000000e+00
 2.47588037e-02]"
[6 1 3 1],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.05034236e-05]"
[6 0 3 1],"[6.98368153e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.41407178e-08]"
[6 0 1 1],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.33845932e-07]"
[6 0 4 1],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.57223712e-07]"
[6 0 7 1],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.42719136e-08]"
[6 0 4 4],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.87561219e-11]"
[6 0 3 4],"[1.24273872e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
[6 3 1 0],[0.00019561 0.0058642  0.         0.         0.0213159 ]
[6 3 4 0],[0.         0.         0.         0.         0.01772844]
[6 1 4 0],[0.         0.02086468 0.         0.         0.02484429]
[6 5 1 3],[0.         0.         0.         0.         0.00283722]
[0 0 1 0],"[3.10709331e-06 1.43278282e-06 0.00000000e+00 0.00000000e+00
 5.02360604e-04]"
[0 3 3 0],"[3.45809188e-11 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.04247406e-08]"
[0 1 3 0],"[8.01914047e-09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.11630186e-07]"
[0 4 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.64599029e-08]"
[0 7 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.69183563e-07]"
[0 0 4 0],[0.        0.        0.        0.        0.0003824]
[0 0 5 0],"[1.02083734e-13 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.58820981e-04]"
[0 0 7 0],[0.         0.         0.         0.         0.00041039]
[0 0 0 3],"[1.21967030e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.49681662e-03]"
[0 0 0 4],"[1.68036876e-08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.90013766e-04]"
[0 0 0 1],[0.         0.         0.         0.         0.00085833]
[0 3 0 1],[0. 0. 0. 0. 0.]
[0 1 0 1],[0. 0. 0. 0. 0.]
[0 4 0 1],[0. 0. 0. 0. 0.]
[0 7 0 1],[0. 0. 0. 0. 0.]
[0 1 0 4],[0. 0. 0. 0. 0.]
[3 1 0 4],[0. 0. 0. 0. 0.]
[1 1 0 4],[0. 0. 0. 0. 0.]
[1 1 0 1],[0. 0. 0. 0. 0.]
[1 4 0 1],[0. 0. 0. 0. 0.]
[2 4 0 2],[0. 0. 0. 0. 0.]
[3 4 0 1],[0. 0. 0. 0. 0.]
[7 4 0 1],[0. 0. 0. 0. 0.]
[7 4 0 4],[0. 0. 0. 0. 0.]
[3 4 0 4],[0. 0. 0. 0. 0.]
[1 4 0 4],[0. 0. 0. 0. 0.]
[1 4 3 1],[0. 0. 0. 0. 0.]
[4 4 3 1],[0. 0. 0. 0. 0.]
[0 1 3 1],[0. 0. 0. 0. 0.]
[0 1 3 4],[0. 0. 0. 0. 0.]
[0 4 3 1],[0. 0. 0. 0. 0.]
[3 4 3 1],[0. 0. 0. 0. 0.]
[1 4 3 4],[0. 0. 0. 0. 0.]
[1 1 3 4],[0. 0. 0. 0. 0.]
[7 1 3 4],[0. 0. 0. 0. 0.]
[3 1 3 1],[0. 0. 0. 0. 0.]
[3 1 3 4],[0. 0. 0. 0. 0.]
[7 1 3 1],[0. 0. 0. 0. 0.]
[4 1 3 1],[0. 0. 0. 0. 0.]
[0 7 3 1],[0. 0. 0. 0. 0.]
[0 8 3 1],[0. 0. 0. 0. 0.]
[0 8 3 4],[0. 0. 0. 0. 0.]
[3 8 3 1],[0. 0. 0. 0. 0.]
[4 8 3 1],[0. 0. 0. 0. 0.]
[1 8 3 1],[0. 0. 0. 0. 0.]
[7 8 3 1],[0. 0. 0. 0. 0.]
[7 6 3 1],[0. 0. 0. 0. 0.]
[1 6 3 1],"[0.00000000e+00 8.88701972e-06 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
[1 6 3 4],[0. 0. 0. 0. 0.]
[1 6 3 0],"[2.75771897e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.91355524e-05]"
[7 6 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.27675313e-07]"
[4 6 3 0],"[1.02314601e-07 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.29482148e-04]"
[8 6 3 0],[0.         0.01056806 0.         0.         0.00264551]
[8 6 3 3],[0.         0.01022559 0.         0.         0.00163168]
[6 6 0 0],[0.11737103 0.         0.         0.         0.11123115]
[6 6 3 0],[0.12273158 0.02796367 0.         0.         0.10794625]
[6 6 1 0],[0.11724064 0.02039909 0.         0.         0.12584009]
[6 6 7 0],[0.09994671 0.05346909 0.         0.         0.11634986]
[6 6 4 0],[0.11835297 0.02775097 0.         0.         0.11781837]
[6 6 3 1],[0.         0.         0.         0.         0.19120373]
[6 6 3 4],[0.         0.01709915 0.         0.         0.10438781]
[6 6 1 4],[0.         0.0166831  0.         0.         0.09634971]
[4 3 0 3],"[7.39287133e-10 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.92787538e-05]"
[3 3 0 3],[0.         0.         0.         0.         0.00067371]
[5 3 0 3],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.64485369e-07]"
[8 3 0 3],"[1.85527992e-05 1.34406836e-02 0.00000000e+00 0.00000000e+00
 2.85123088e-03]"
[6 0 5 3],[0.        0.        0.        0.        0.0008485]
[6 7 6 3],[0.         0.         0.         0.         0.03779701]
[6 4 6 3],[0.         0.         0.         0.         0.04335591]
[6 0 6 3],[0.         0.         0.         0.         0.00820862]
[6 0 6 1],[0.         0.         0.         0.         0.00402185]
[6 3 6 1],[0.         0.         0.         0.         0.00761158]
[6 7 6 1],[0.         0.         0.         0.         0.00859714]
[6 4 6 1],[0.        0.        0.        0.        0.0077072]
[6 1 6 1],[0.         0.         0.         0.         0.00795337]
[6 5 6 1],[0.         0.         0.         0.         0.00169294]
[6 1 6 4],[0.         0.00065603 0.         0.         0.00328237]
[6 3 6 4],[0.         0.         0.         0.         0.00373325]
[6 7 6 4],[0.         0.         0.         0.         0.00053826]
[6 8 6 1],[0.         0.09215161 0.         0.         0.04559587]
[6 6 6 5],[0.         0.         0.         0.         0.31503514]
[3 1 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.56354412e-08]"
[4 1 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.79789889e-08]"
[0 5 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.75021903e-09]"
[0 3 4 0],[0. 0. 0. 0. 0.]
[0 1 0 0],"[4.46785715e-07 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.20232153e-03]"
[0 4 0 0],[0.00013675 0.         0.         0.         0.00226642]
[3 7 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.00337921e-09]"
[7 7 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.28297408e-10]"
[4 7 3 0],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.14324086e-09]"
