[0 0 0 0],[197.41557451 199.43477128 185.68379368 190.42512677]
[0 3 0 0],[187.65793763 186.0392265  176.94694889 180.26822188]
[0 1 0 0],[187.45495003 188.24504528 182.9962204  182.45281685]
[3 1 0 0],[181.32134125 172.22278001 138.87216201 148.29466388]
[3 4 0 0],[181.4069032  176.18989621 139.38588606 130.28370483]
[1 4 0 0],[181.78492222 177.21254315 152.58702084 151.75381564]
[1 1 0 0],[177.59891446 168.48816025 152.98035135 149.73088882]
[5 1 0 0],[176.02033514 169.91427651  58.72032837  63.52559654]
[2 2 0 0],[183.80012373 191.41214169 115.53792094 111.78759786]
[4 4 0 0],[181.18002553 184.91918158 147.50658183 144.55567151]
[1 5 0 0],[171.84264249 174.50309618  79.92687454  75.97483735]
[4 1 0 0],[176.65156382 176.05423268 155.59608182 153.19645857]
[6 4 0 0],[  0.         133.13545709 130.31047933 126.962795  ]
[6 1 0 0],[  0.         126.97086383 126.98965285 125.45359346]
[6 3 0 0],[  0.         128.17346855 122.5614383  126.62099578]
[6 6 0 0],[ 0.          0.         99.12038313 91.36499523]
[6 6 0 3],[ 0.          0.         80.17844963 81.79113976]
[6 6 0 1],[ 0.          0.         82.06378345 80.74247725]
[6 6 0 4],[ 0.          0.         88.28785113 83.61467597]
[6 6 0 6],[ 0.          0.         36.64504274  0.        ]
[6 6 3 6],[ 0.          0.         25.41941503  0.        ]
[6 6 1 6],[ 0.          0.         23.62712574  0.        ]
[6 6 5 6],[ 0.          0.         25.32187453  0.        ]
[6 6 4 6],[ 0.          0.         27.39303881  0.        ]
[0 4 0 0],[191.59896299 183.32877818 178.38552901 184.4773035 ]
[1 1 0 3],[136.41309078 140.08541907  33.54158824 129.19649149]
[6 1 0 3],[  0.         112.00022782  37.4157632  114.63746903]
[6 1 0 4],[  0.         122.64345     47.81712251 115.05794877]
[6 1 0 1],[  0.         116.17404429  68.23506719 110.95741441]
[6 1 3 3],[ 0.          0.          0.         54.06728524]
[6 1 3 1],[ 0.         35.40192807 64.08466065 24.78272808]
[6 1 3 4],[ 0.         30.32089659 33.68314418 20.55166684]
[6 1 1 4],[ 0.         50.03449691 58.20920537 36.94736748]
[6 1 1 1],[ 0.         52.90130955 72.14354386 52.67103783]
[6 1 1 0],[  0.         113.89621518 116.76967068  68.07772196]
[6 1 4 0],[  0.         116.67078829 113.28687102  38.75248448]
[6 1 4 3],[ 0.         37.80129638 52.02532096 15.42670823]
[6 1 1 3],[ 0.         37.45690118 33.74113721 62.82701039]
[6 1 1 5],[ 0.          0.          0.         11.24457364]
[6 1 4 1],[ 0.         25.26270992 65.45683291 35.62525379]
[6 6 1 1],[ 0.          0.         79.31712864 71.63356694]
[6 6 2 2],[ 0.          0.         86.12431269 86.37771168]
[6 6 1 3],[ 0.          0.         72.07321516 79.28258331]
[6 6 6 6],[0. 0. 0. 0.]
[3 0 0 0],[184.70165569 185.92361384 167.48625789 157.72587001]
[1 0 0 0],[182.20202115 189.93331957 170.82989444 166.50620356]
[4 0 0 0],[194.44718413 192.2380764  170.21562808 168.1946846 ]
[5 0 0 0],[190.56562957 156.99718356 132.13072463  83.4840268 ]
[1 3 0 0],[172.09267027 175.60183921 144.58989694 148.76508705]
[6 5 0 0],[  0.         127.17936782  37.34255462  66.05885822]
[3 1 3 0],[ 89.88866208 110.23447407 134.96683062   0.        ]
[1 1 3 0],[138.12973353 142.13607128 139.68790865  30.22828503]
[4 1 3 0],[146.45869325 136.69879415 113.49842171  12.97683541]
[1 3 3 0],[ 88.47087866 147.7189637   89.27464048   0.        ]
[4 3 3 0],[132.28762581  70.6689985   43.85597892   3.61780722]
[3 3 3 0],[ 27.86145017 122.89184977   5.37147062   2.5       ]
[1 4 3 0],[136.05040481 144.71695404 123.58111195   9.31513998]
[1 6 3 0],[116.50797731   0.         122.55723141  85.05716192]
[1 6 1 0],[114.09498256   0.         110.52893889  89.23042687]
