0b0,[0.         0.         0.         0.         0.38618334]
0b1,[ 0.          0.          0.         -9.83925041  0.39992106]
0b10,[0.         0.         1.10828803 0.         0.3775729 ]
0b11,[ 0.          0.          1.10523484 -9.84056806  0.3776847 ]
0b100,[0.         1.13334987 0.         0.         0.37771645]
0b101,[ 0.          1.11813941  0.         -9.15969664  0.3148456 ]
0b110,[0.         1.09897795 1.09541714 0.         0.36512679]
0b111,[0.         1.0428342  0.12285935 0.         0.10098682]
0b1000,[1.11201876 0.         0.         0.         0.38167514]
0b1001,[ 1.10507148  0.          0.         -9.83646395  0.40780804]
0b1010,[1.11908108 0.         1.09852225 0.         0.36254378]
0b1011,[ 1.03797762  0.          0.31637315 -4.61833885  0.3998538 ]
0b1100,[1.09679807 1.13604213 0.         0.         0.37880833]
0b1101,[ 0.37704289  0.          0.         -1.88608845  0.06160396]
0b1110,[1.1081073  0.21776973 0.63497985 0.         0.25043032]
0b1111,[0.20332455 0.         0.         0.         0.        ]
