[0 0 0 0],[0.0540105  0.         0.         0.         0.42973984]
[3 0 0 0],[0.28096339 0.48086749 0.         0.         0.43193014]
[1 0 0 0],[0.16240672 0.48071193 0.         0.         0.43080703]
[7 0 0 0],[0.25728698 0.47717861 0.         0.         0.43107122]
[4 0 0 0],[0.2443396  0.47739019 0.         0.         0.43111214]
[1 0 3 0],[0.11361205 0.         0.         0.         0.12319148]
[4 0 3 0],[0.08484999 0.07018012 0.         0.         0.12787523]
[8 0 3 0],[0.25895931 0.         0.         0.         0.25997865]
[6 0 3 0],[0.31748843 0.         0.         0.         0.176048  ]
[6 0 1 0],[0.25504672 0.         0.         0.         0.15637605]
[6 0 7 0],[0.05918152 0.         0.         0.         0.161954  ]
[6 0 4 0],[0.14976268 0.         0.         0.         0.21879661]
[6 0 3 3],[0.34711415 0.         0.         0.         0.18467819]
[6 0 1 3],[0.24665386 0.         0.         0.         0.19176595]
[6 0 5 3],[0.         0.         0.         0.         0.18698195]
[6 3 1 3],[0.         0.         0.         0.         0.22411141]
[6 4 1 3],[0.         0.         0.         0.         0.20437008]
[6 1 1 3],[0.         0.12135405 0.         0.         0.21735209]
[6 5 1 3],[0.         0.         0.         0.         0.19017545]
[6 4 4 3],[0.         0.         0.         0.         0.26370621]
[6 0 4 3],[0.20247196 0.         0.         0.         0.19646907]
[6 0 7 3],[0.17356048 0.         0.         0.         0.18782134]
[6 0 8 3],[0.08770692 0.20563963 0.         0.         0.2925196 ]
[6 0 6 3],[0.27929114 0.         0.         0.         0.26845079]
[6 3 6 3],[0.        0.        0.        0.        0.2195193]
[6 4 6 3],[0.         0.         0.         0.         0.27781311]
[6 1 6 3],[0.         0.         0.         0.         0.62809442]
[6 7 6 3],[0.         0.         0.         0.         0.35780876]
[6 8 6 3],[0.         0.89999942 0.         0.         0.80999737]
[6 6 6 3],[0.      1.      0.      0.      0.84375]
[6 6 6 7],[0.         1.         0.         0.         0.89947257]
[6 6 6 5],[0.  0.  0.  0.  0.9]
[6 6 6 1],[0.         1.         0.         0.         0.89999416]
[6 6 6 4],[0.  1.  0.  0.  0.9]
[6 6 6 8],[0.  1.  0.  0.  0.9]
[6 6 6 6],[0. 0. 0. 0. 0.]
[0 3 0 0],[0.         0.         0.         0.         0.04953218]
[0 1 0 0],[0.04644549 0.         0.         0.         0.08503616]
[0 7 0 0],[0.02411212 0.         0.         0.         0.07332392]
[0 5 0 0],[0.         0.         0.         0.         0.06151781]
[0 0 0 3],[0.04942801 0.         0.         0.         0.01991152]
[0 0 0 4],[0.         0.         0.         0.         0.04017165]
[0 0 0 1],[0.00228939 0.         0.         0.         0.03010094]
[0 3 0 1],[0. 0. 0. 0. 0.]
[0 4 0 1],[0. 0. 0. 0. 0.]
[0 0 0 7],[0.         0.         0.         0.         0.00874101]
[5 0 0 0],[0.19946645 0.         0.         0.         0.43001298]
[7 0 3 0],[0.11114752 0.         0.         0.         0.13304169]
[6 0 5 0],[0.        0.        0.        0.        0.2417752]
[6 3 8 3],[0.         0.         0.         0.         0.47625196]
[6 1 8 3],[0.         0.04565122 0.         0.         0.1613135 ]
[0 0 3 0],[0.00411769 0.         0.         0.         0.13769109]
[0 3 3 0],[0.         0.         0.         0.         0.04313184]
[0 1 3 0],[0.00024152 0.         0.         0.         0.00709473]
[3 1 3 0],[0.         0.         0.         0.         0.01199889]
[1 1 3 0],[0.01523668 0.         0.         0.         0.01572185]
[4 1 3 0],[0.         0.         0.         0.         0.00817919]
[1 4 3 0],[0.00715172 0.         0.         0.         0.00317013]
[3 4 3 0],[0.         0.         0.         0.         0.00492392]
[7 4 3 0],[0.         0.         0.         0.         0.16997514]
[7 1 3 0],[0.02820562 0.         0.         0.         0.00744719]
[4 1 3 3],[0.         0.         0.         0.         0.10671561]
[7 1 3 3],[0.         0.         0.         0.         0.07629879]
[1 1 3 3],[0.         0.         0.         0.         0.11555137]
[3 1 3 3],[0.         0.         0.         0.         0.06359028]
[8 1 3 3],[0.         0.35523952 0.         0.         0.24371685]
[8 4 3 3],[0.         0.23547589 0.         0.         0.1485184 ]
[6 1 3 3],[0.         0.         0.         0.         0.30853884]
[6 4 3 3],[0.        0.        0.        0.        0.4789256]
[6 0 0 3],[0.31362185 0.         0.         0.         0.19041408]
[6 0 0 1],[0.0371856  0.07454118 0.         0.         0.20941496]
[6 0 0 0],[0.41212575 0.         0.         0.         0.53805141]
[6 3 0 0],[0.34603181 0.5978349  0.         0.         0.52656839]
[6 4 0 0],[0.30382371 0.58889754 0.         0.         0.53116545]
[6 7 0 0],[0.3231459  0.5874271  0.         0.         0.53024779]
[6 1 0 0],[0.41260101 0.58924497 0.         0.         0.52904343]
[6 1 0 3],[0.30869525 0.         0.         0.         0.3780139 ]
[6 7 0 3],[0.15314102 0.         0.         0.         0.40886857]
[6 4 0 3],[0.38398018 0.         0.         0.         0.50175768]
[6 8 0 3],[0.64903023 0.62930989 0.         0.         0.58477748]
[6 8 3 3],[0.         0.70444713 0.         0.         0.64741834]
[6 6 3 3],[0.         0.675      0.         0.         0.80725978]
[6 6 1 3],[0.         0.9        0.         0.         0.77713831]
[6 6 7 3],[0.         0.9        0.         0.         0.80850682]
[6 6 4 3],[0.         0.9        0.         0.         0.80423013]
[6 6 5 3],[0.   0.   0.   0.   0.81]
[6 6 8 3],[0.   0.9  0.   0.   0.81]
[0 4 0 0],[0.04187837 0.         0.         0.         0.11022405]
[0 3 0 3],[0.         0.         0.         0.         0.00284368]
[0 1 0 3],[0.         0.         0.         0.         0.00102314]
[0 4 0 3],[0.01000654 0.         0.         0.         0.00119665]
[3 4 0 3],[0.         0.         0.         0.         0.01176285]
[3 0 0 3],[0.03529219 0.         0.         0.         0.15047042]
[4 0 0 3],[0.08694278 0.17882277 0.         0.         0.15448564]
[4 3 0 3],[0.         0.         0.         0.         0.19490243]
[1 3 0 3],[0.2356397  0.         0.         0.         0.16840195]
[1 3 3 3],[0.         0.16712899 0.         0.         0.15761761]
[0 3 3 3],[0.         0.         0.         0.         0.03939567]
[3 3 3 3],[0.         0.0277288  0.         0.         0.23328188]
[4 3 3 3],[0.         0.         0.         0.         0.15951106]
[7 3 3 3],[0.         0.         0.         0.         0.20502952]
[5 3 3 3],[0.         0.         0.         0.         0.13330777]
[8 3 3 3],[0.         0.34528361 0.         0.         0.31603573]
[6 3 3 3],[0.         0.         0.         0.         0.33042639]
[6 7 3 3],[0.         0.         0.         0.         0.31119911]
[6 6 0 3],[0.68324686 0.         0.         0.         0.6264111 ]
[6 6 0 1],[0.69101178 0.3282092  0.         0.         0.60300978]
[6 6 0 4],[0.6906881  0.         0.         0.         0.63749988]
[6 6 3 4],[0.        0.        0.        0.        0.7821825]
[6 6 7 4],[0.         0.40355501 0.         0.         0.76097467]
[6 6 5 4],[0.         0.         0.         0.         0.80824998]
[6 6 4 4],[0.         0.         0.         0.         0.71811517]
[6 6 4 1],[0.         0.         0.         0.         0.76660251]
[6 6 3 1],[0.         0.         0.         0.         0.78987404]
[6 6 1 4],[0.         0.89987018 0.         0.         0.80505374]
[6 6 4 0],[0.81       0.81       0.         0.         0.71637629]
[6 6 1 0],[0.81      0.81      0.        0.        0.7277476]
[6 6 0 0],[0.65048455 0.         0.         0.         0.65582883]
[6 6 3 0],[0.72414637 0.70875    0.         0.         0.72898246]
[6 6 7 0],[0.81       0.6075     0.         0.         0.72862478]
[0 0 7 0],[0.00047413 0.         0.         0.         0.03571366]
[0 0 4 0],[0.01964339 0.         0.         0.         0.05857096]
[0 0 1 0],[0.0001729  0.         0.         0.         0.02862919]
[0 4 3 0],[0.00399804 0.         0.         0.         0.00415479]
[0 4 3 3],[0.0004428  0.         0.         0.         0.03009337]
[0 0 3 3],[0.1338568  0.         0.         0.         0.02231074]
[0 0 4 3],[0.         0.         0.         0.         0.00292901]
[0 0 7 3],[0.         0.         0.         0.         0.00881824]
[0 0 8 3],[0. 0. 0. 0. 0.]
[3 0 8 3],[0.         0.         0.         0.         0.00021052]
[4 0 8 3],[0.         0.         0.         0.         0.00021052]
[1 0 8 3],[0.         0.00168305 0.         0.         0.00035524]
[7 0 8 3],[0. 0. 0. 0. 0.]
[7 0 6 3],[0.         0.         0.         0.         0.04885654]
[4 0 6 3],[0.         0.         0.         0.         0.00045192]
[1 0 6 3],[0.00435367 0.         0.         0.         0.00237346]
[1 3 6 3],[0.         0.         0.         0.         0.00579186]
[4 3 6 3],[0.         0.         0.         0.         0.29973406]
[7 3 6 3],[0.         0.0113767  0.         0.         0.10812621]
[8 3 6 3],[0.         0.27077139 0.         0.         0.19793089]
[0 3 1 0],"[1.82284018e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.76843852e-05]"
[0 2 2 0],[0. 0. 0. 0. 0.]
[0 3 4 0],[0. 0. 0. 0. 0.]
[0 1 4 0],[0. 0. 0. 0. 0.]
[0 7 4 0],[0. 0. 0. 0. 0.]
[3 7 0 0],[0.         0.         0.         0.         0.04347661]
[4 7 0 0],[0.         0.         0.         0.         0.02030802]
[5 0 0 3],[0.04693006 0.         0.         0.         0.14319648]
[1 0 0 3],[0.1147828  0.         0.         0.         0.20811139]
[0 0 1 3],[0.        0.        0.        0.        0.0761363]
[3 0 1 3],[0.         0.         0.         0.         0.07740803]
[1 0 1 3],[0.02192075 0.094905   0.         0.         0.03887505]
[7 0 1 3],[0.         0.         0.         0.         0.05353436]
[4 0 1 3],[0.         0.         0.         0.         0.01898942]
[7 3 1 3],[0.         0.14312721 0.         0.         0.02476091]
[4 3 1 3],[0.         0.         0.         0.         0.05538459]
[1 3 1 3],[0.         0.         0.         0.         0.15077332]
[3 3 1 3],[0.         0.         0.         0.         0.09246357]
[6 7 1 3],[0.         0.         0.         0.         0.22278096]
[6 3 5 3],[0.         0.         0.         0.         0.41724874]
[6 7 5 3],[0.         0.         0.         0.         0.44784433]
